text,sentiment_label,sentiment_score,sentiment
What We Got Wrong About Tech Looking back at tech misjudgments so we can better look ahead.,NEGATIVE,0.9967426657676697,-1
Why Tesla Soared as Other Automakers Struggled to Make Cars The yawning disparity between the performance of the electric car company and established automakers last year reflects the technological change roiling the industry.,POSITIVE,0.9963460564613342,1
"What Will the Highways of the Future Look Like? With its AIVIA Smart Roads initiative, Ferrovial is redefining highways, rethinking how they work and interact with the vehicles traversing them.",POSITIVE,0.9964950680732727,1
Animation That’s More Than Kids’ Stuff A handful of animated features gaining attention this awards season take a more mature approach.,POSITIVE,0.9992955923080444,1
"3 Little Words to Send a Lamborghini on Its Way A novel navigation system, What3words, will be standard on new Huracán models. It divides the globe into 57 trillion 10-foot squares, and leads you to one.",POSITIVE,0.9987779259681702,1
"ISIS Fighters Get Surrender-or-Die Ultimatum in Syria Prison Standoff The U.S.-backed Syrian Democratic Forces militia demanded that about 60 ISIS militants, still holed up in a prison a week after they attacked it, give themselves up or risk being killed.",NEGATIVE,0.9970241189002991,-1
"Help. I’ve Fallen for That Cadillac Escalade. I took a top-of-the-line Cadillac Escalade on a two-week road trip. Unfortunately for the planet, I loved it.",POSITIVE,0.99581378698349,1
"Syria’s Kurds Wanted Autonomy. They Got an Endless War. The Kurds of northeastern Syria dreamed of establishing an autonomous, multiethnic and gender-equal utopia. Instead, their breakaway region has been engulfed in conflict since its creation.",NEGATIVE,0.9959756731987,-1
The Environmentally Unfriendly Secret of the Beijing Olympics The I.O.C. awarded this year’s Winter Games to a place almost completely lacking in snow. China’s water-scarce capital had to go to enormous lengths to make it.,NEGATIVE,0.9964498281478882,-1
"Uber says its business is bouncing back from a pandemic-induced slump. Revenue in the last three months of 2021 was up 83 percent from a year earlier, the company reported.",NEGATIVE,0.9983019828796387,-1
The Radical Experimentation of Black Psychedelia One of the most lasting and influential artistic movements of the 20th century was created with and for Black artists. Why has their contribution been so overlooked?,POSITIVE,0.9587253332138062,1
"Uber distances itself from Yandex.Taxi, the Russian ride-sharing service. Uber said it would try to ‘accelerate’ the planned sale of its shares in the Russian service.",NEGATIVE,0.9974926710128784,-1
Sony and Honda Announce Tie-Up to Make Electric Cars The two Japanese giants said they would form a company that would make battery-powered cars in Honda’s factories.,POSITIVE,0.9938036203384399,1
Reality Intrudes on a Utopian Crypto Vision The cryptocurrency boom has spawned enterprises democratically governed by a community of users. Or that’s the theory. Making it work has been much messier.,NEGATIVE,0.9939557909965515,-1
"How California Is Building the Nation’s First Privacy Police A new state agency has a $10 million budget to regulate Google, Facebook and others. But first it needs to be created.",NEGATIVE,0.9968693852424622,-1
Business Reckons With a Historic Court Moment What Ketanji Brown Jackson’s nomination to the Supreme Court means for corporate America.,POSITIVE,0.9924860000610352,1
"Toronto, the Quietly Booming Tech Town For all the excitement around places like Austin and Miami, the biggest tech expansion has been in Canada’s largest city.",POSITIVE,0.999618411064148,1
This Economist Really Loves Free Markets Clifford Winston is a big fan of deregulation.,POSITIVE,0.9747535586357117,1
The Battle for the Mural — and the Future of Belarus It started as an act of graffiti at a playground in Minsk. It turned into a remarkable campaign of defiance against an increasingly totalitarian regime.,POSITIVE,0.9957243204116821,1
"One Weekend in Vegas With the Nation’s Auto Dealers After bottoming out early in the pandemic, profits and spirits are soaring — and people were ready to party.",POSITIVE,0.9992899894714355,1
