,date,text
72,2022-01-04,What We Got Wrong About Tech Looking back at tech misjudgments so we can better look ahead.
87,2022-01-08,Why Tesla Soared as Other Automakers Struggled to Make Cars The yawning disparity between the performance of the electric car company and established automakers last year reflects the technological change roiling the industry.
17,2022-01-11,"What Will the Highways of the Future Look Like? With its AIVIA Smart Roads initiative, Ferrovial is redefining highways, rethinking how they work and interact with the vehicles traversing them."
160,2022-01-13,Animation That’s More Than Kids’ Stuff A handful of animated features gaining attention this awards season take a more mature approach.
56,2022-01-27,"3 Little Words to Send a Lamborghini on Its Way A novel navigation system, What3words, will be standard on new Huracán models. It divides the globe into 57 trillion 10-foot squares, and leads you to one."
135,2022-01-28,"ISIS Fighters Get Surrender-or-Die Ultimatum in Syria Prison Standoff The U.S.-backed Syrian Democratic Forces militia demanded that about 60 ISIS militants, still holed up in a prison a week after they attacked it, give themselves up or risk being killed."
126,2022-02-04,"Help. I’ve Fallen for That Cadillac Escalade. I took a top-of-the-line Cadillac Escalade on a two-week road trip. Unfortunately for the planet, I loved it."
80,2022-02-07,"Syria’s Kurds Wanted Autonomy. They Got an Endless War. The Kurds of northeastern Syria dreamed of establishing an autonomous, multiethnic and gender-equal utopia. Instead, their breakaway region has been engulfed in conflict since its creation."
155,2022-02-09,The Environmentally Unfriendly Secret of the Beijing Olympics The I.O.C. awarded this year’s Winter Games to a place almost completely lacking in snow. China’s water-scarce capital had to go to enormous lengths to make it.
45,2022-02-09,"Uber says its business is bouncing back from a pandemic-induced slump. Revenue in the last three months of 2021 was up 83 percent from a year earlier, the company reported."
180,2022-02-10,The Radical Experimentation of Black Psychedelia One of the most lasting and influential artistic movements of the 20th century was created with and for Black artists. Why has their contribution been so overlooked?
26,2022-02-28,"Uber distances itself from Yandex.Taxi, the Russian ride-sharing service. Uber said it would try to ‘accelerate’ the planned sale of its shares in the Russian service."
7,2022-03-04,Sony and Honda Announce Tie-Up to Make Electric Cars The two Japanese giants said they would form a company that would make battery-powered cars in Honda’s factories.
174,2022-03-08,Reality Intrudes on a Utopian Crypto Vision The cryptocurrency boom has spawned enterprises democratically governed by a community of users. Or that’s the theory. Making it work has been much messier.
90,2022-03-15,"How California Is Building the Nation’s First Privacy Police A new state agency has a $10 million budget to regulate Google, Facebook and others. But first it needs to be created."
130,2022-03-21,Business Reckons With a Historic Court Moment What Ketanji Brown Jackson’s nomination to the Supreme Court means for corporate America.
120,2022-03-21,"Toronto, the Quietly Booming Tech Town For all the excitement around places like Austin and Miami, the biggest tech expansion has been in Canada’s largest city."
