date,text,label,sentiment_label,sentiment_score,sentiment
2016-01-04,"General Motors, Gazing at Future, Invests $500 Million in Lyft Beyond the financial backing, the carmaker will develop an autonomous on-demand network of self-driving cars.",,POSITIVE,0.9367073774337769,1
2016-01-04,"G.M.’s Investment in Lyft Hedges Against a Future With Fewer Car Owners With the rise of self-driving cars, shared ownership and ride-hailing, people may buy fewer cars in the future. General Motors’ large stake in Lyft could help it navigate these trends.",,POSITIVE,0.8439587950706482,1
2016-01-05,"Carmakers Set to Grab Spotlight at International CES With advances in technology in cars, nine automakers are planning press events at the International CES in Las Vegas this week.",,POSITIVE,0.9978863596916199,1
2016-01-06,"On Display at CES, Tech Ideas in Their Awkward Adolescence Plenty of groundbreaking technologies are in the works, but in the meantime, expect to be bombarded with early, clumsy versions of tomorrow’s tech.",,NEGATIVE,0.9984283447265625,-1
2016-01-07,Carmakers Forge Ahead With Electric Vehicles  General Motors and several other car companies are focusing on electric vehicles at the International CES consumer trade show in Las Vegas.,,POSITIVE,0.9960911870002747,1
2016-01-08,"Insurers Brace for the Self-Driving Future and Fewer Accidents With fewer drivers behind the wheel making mistakes, accidents and insurance premiums are expected to fall, and some insurance companies may not survive.",,NEGATIVE,0.9996064305305481,-1
2016-01-09,"Farhad and Mike’s Week in Tech: Cars With, and Without, Drivers Auto manufacturers, ride-hailing companies and lawmakers are turning their attention to self-driving cars.",,NEGATIVE,0.9718493223190308,-1
2016-01-12,"Volvo Makes a Comeback, With a Detour Through China Even the smallest auto companies are flourishing in the booming American market, none more so than this tiny Chinese-owned, Swedish-run luxury brand.",,POSITIVE,0.9975075721740723,1
2016-01-14,U.S. Proposes Spending $4 Billion on Self-Driving Cars A proposal announced by the transportation secretary is meant to accelerate development of autonomous vehicles and remove hurdles for automakers.,,POSITIVE,0.9745708703994751,1
2016-01-15,18 Carmakers Agree to Share Safety Data The pact is part of an effort by the National Highway Traffic Safety Administration to improve safety practices in the auto industry.,,POSITIVE,0.8618571162223816,1
2016-01-17,"For Now, Self-Driving Cars Still Need Humans Vehicles are increasingly able to do routine tasks, but the problem vexing the automobile industry is how to keep drivers ready to take over the wheel when necessary.",,NEGATIVE,0.9944109320640564,-1
2016-01-21,"Self-Driving Cars May Get Here Before We’re Ready Only a few states have passed laws relating to the testing of autonomous cars, and no state expressly allows a completely unmanned vehicle on the road.",,NEGATIVE,0.9950571060180664,-1
2016-02-03,G.M. Posts Record Profit of $9.7 Billion for 2015 The company said that its results in North America were the driving force behind its performance.,,POSITIVE,0.9949030876159668,1
2016-02-10,"Google Car Exposes Regulatory Divide on Computers as Drivers A federal agency seems to accept that the computers controlling a self-driving car are the same as a human driver, but California differs.",,NEGATIVE,0.8676698803901672,-1
2016-03-01,"Autonomous Google Car Hits Public Bus During Test Drive A self-driving car being tested by Google struck a public bus on a city street in Mountain View, Calif.",,NEGATIVE,0.9978328347206116,-1
2016-03-11,General Motors to Buy Cruise Automation in Push for Self-Driving Cars Industry analysts said the G.M. deal underscores how competitive the race toward autonomous vehicles has become.,,NEGATIVE,0.9855142831802368,-1
2016-04-04,"China Moves Into Position to Develop Self-Driving Cars Gansha Wu, a veteran engineering manager at Intel, has jumped into the autonomous car industry in China, with a start-up called Uisee Technology.",,POSITIVE,0.9972379207611084,1
2016-04-04,China’s Companies Poised to Take Leap in Developing a Driverless Car Conditions for the technology may actually be more favorable in China than in the United States because of aggressive support from the government.,,POSITIVE,0.5123419165611267,1
2016-04-12,Facebook’s Developer Conference Kicks Off On Tuesday Mark Zuckerberg is expected to address Facebook Messenger and Facebook Live among other topics.,,POSITIVE,0.6861082315444946,1
2016-04-13,"Ford’s Planned New Headquarters Borrow Some Silicon Valley Sheen Ford Motor tries to shed Rust Belt image as it makes over its headquarter buildings in Dearborn, Mich., into a high-tech campus.",,NEGATIVE,0.6772112250328064,-1
2016-04-22,"Despite Strong Earnings, G.M. Has Much to Prove to Investors Much of the credit for G.M.’s earnings has gone to a strong car market in the United States, not the company’s improving balance sheet and new models.",,NEGATIVE,0.9971267580986023,-1
2016-04-27,"Ford and Google Team Up to Support Driverless Cars The automaker and the tech giant formed the Self-Driving Coalition for Safer Streets, a group aimed at urging federal approval of autonomous vehicles.",,NEGATIVE,0.8719927072525024,-1
2016-05-03,Google to Get Fiat Chrysler Minivans for Self-Driving Tests The partnership will equip 100 vehicles with technology to advance and expand Google’s development effort.,,POSITIVE,0.9979872703552246,1
2016-05-06,"Head of Fiat Chrysler Sees Self-Driving Cars in Five Years, Not 20 Under a partnership unveiled this week, Fiat Chrysler will make about 100 modified Pacificas that Google will outfit with sensors and computers it has developed.",,NEGATIVE,0.9588243961334229,-1
2016-05-12,Pentagon Turns to Silicon Valley for Edge in Artificial Intelligence Secretary of Defense Ashton B. Carter takes his bridge-building message to Silicon Valley despite skepticism among some in the tech community.,,POSITIVE,0.9893873929977417,1
2016-05-17,Want to Buy a Self-Driving Car? Big-Rig Trucks May Come First A start-up has its sights on the long-haul freeway driving that is the bread and butter of the commercial trucking industry.,,NEGATIVE,0.9748848080635071,-1
2016-05-24,"Automakers Befriend Start-Ups Like Uber, Girding Against a Changing Car Culture Companies like Toyota and Volkswagen are supporting the tech companies working to change the way people travel by car.",,POSITIVE,0.9768482446670532,1
2016-06-04,"5 Things That Give Self-Driving Cars Headaches Despite their multitude of sensors and processors, autonomous cars have a lot of trouble with some everyday aspects of driving.",,NEGATIVE,0.9962295889854431,-1
2016-06-04,"For Driverless Cars, Citylike Test Sites Offer the Unpredictable Testing is being conducted at controlled, secretive locations like Mcity in Michigan because the number of unforeseen challenges on the road is almost limitless.",,NEGATIVE,0.9952942728996277,-1
2016-06-04,"From the Past, a Place to Glimpse the Automobile’s Future The University of Michigan is a partner in a project to set up an expansive testing site for autonomous vehicles in Ypsilanti, Mich., at G.M.’s former Willow Run assembly plant.",,POSITIVE,0.9934315085411072,1
2016-06-16,"Skeptics of Self-Driving Cars Span Generations According to surveys, no matter the age, American drivers see potential benefits in autonomous vehicles, but they want to be sure the technology works.",,POSITIVE,0.9950923919677734,1
2016-06-23,Should Your Driverless Car Hit a Pedestrian to Save Your Life? Surveys show that people generally believe autonomous vehicles should make an emergency decision for the greatest good — except if it might kill them.,,NEGATIVE,0.9868977069854736,-1
2016-06-24,When Machines Will Need Morals A new study looked at what people would want their self-driving cars to do in a life-or-death situation. The conclusion? People would really like to stay alive.,,POSITIVE,0.8022009134292603,1
2016-06-28,A.I.’s Grasp of Diversity May Begin With Who Builds It Machines may one day be able to think for themselves. But it will be the programmers who teach them to do that. That’s where it gets tricky.,,POSITIVE,0.8766887187957764,1
2016-06-30,"Self-Driving Tesla Was Involved in Fatal Crash, U.S. Says The federal highway safety agency said that the driver of a Tesla on “autopilot” died in a crash in May, thought to be the first death in a self-driving car.",,NEGATIVE,0.9976917505264282,-1
2016-07-01,"The Fully Self-Driving Car Is Still Years Away As engineers try to design vehicles that can actually drive themselves, many are wary of halfway systems that can lull humans into a false sense of security.",,NEGATIVE,0.9982874989509583,-1
2016-07-01,"Inside the Self-Driving Tesla Fatal Accident After Joshua Brown, 40, of Canton, Ohio, was killed driving a Tesla Model S in the first fatality involving a self-driving car, questions have arisen about the safety of the car’s technology.",,NEGATIVE,0.9788070321083069,-1
2016-07-01,Daily Report: Tesla Driver Dies in ‘Autopilot’ Accident Federal investigators are trying to determine why the car didn’t automatically stop when a tractor-trailer crossed into its path.,,NEGATIVE,0.9990777969360352,-1
2016-07-04,Tesla and Google Take Different Roads to Self-Driving Car Two self-driving car pioneers have distinct views of the role of the person behind the wheel.,,POSITIVE,0.9866543412208557,1
2016-07-04,"As Self-Driving Cars Hit the Road, Innovation Is Outpacing Insurance The recent death involving Tesla’s Autopilot feature underscored the technology’s risks. But the advances have gotten ahead of insurers’ ability to factor self-driving systems into their policies.",,POSITIVE,0.9879044890403748,1
2016-07-07,"A 16-Year-Old Needs a License. Shouldn’t a Self-Driving Car? After a fatal crash of a self-driving Tesla, we need to take a harder look at autopilot technology.",,NEGATIVE,0.9994714856147766,-1
2016-07-07,"U.S. Safety Agency Investigates Another Tesla Crash Involving Autopilot As safety officials opened an inquiry into a Pennsylvania accident, a witness to the fatal Florida Tesla crash described a car that did not slow down even after impact.",,POSITIVE,0.6011304259300232,1
2016-07-07,Makers of Self-Driving Cars Ask What to Do With Human Nature The difficulty of getting drivers to take control of automated cars when necessary has prompted many automakers to take people out of the equation.,,NEGATIVE,0.9785810112953186,-1
2016-07-09,Silicon Valley-Driven Hype for Self-Driving Cars The excitement over autonomous driving ignores the many potholes along the way.,,NEGATIVE,0.9969627261161804,-1
2016-07-21,"Elon Musk’s Tesla Plan: More Models, More Self-Driving In a blog post, Mr. Musk says nothing about the Autopilot controversy, while envisioning a future of self-driving buses and tractor-trailers.",,NEGATIVE,0.9628661274909973,-1
2016-07-21,Elon Musk’s Futuristic Plans Give Shareholders Cause to Worry The carmaker’s leader reveals a new master plan; investors wonder how he’ll pay for it.,,POSITIVE,0.9905242323875427,1
2016-07-22,"Testing Sites for Self-Driving Cars Become a Priority After a fatal crash involving a Tesla Model S, the idea of establishing a federally supervised site to ensure safety is catching on.",,POSITIVE,0.6309782862663269,1
2016-07-23,Farhad’s and Mike’s Week in Tech: The Master Plans of SoftBank and Elon Musk Also: Twitter’s banning of a misogynistic troll and how Mike looked beyond his beard to cover the $1 billion Dollar Shave Club sale.,,NEGATIVE,0.9848988652229309,-1
2016-07-29,"Corrections: July 29, 2016 Corrections appearing in print on Friday, July 29, 2016.",,NEGATIVE,0.9853695631027222,-1
2016-08-05,Latest to Quit Google’s Self-Driving Car Unit: Top Roboticist Chris Urmson is the latest in a string of departures from the team working on the autonomous car project.,,NEGATIVE,0.9996185302734375,-1
2016-08-14,"Intel’s New Mission: Find Fresh Uses for Its Famous Paranoia The world’s biggest semiconductor company is scrambling for a place in sensors, wireless networking and autonomous vehicles, as computing spreads to nearly every machine.",,NEGATIVE,0.978203535079956,-1
2016-08-15,"Lyft Declined G.M. Takeover Effort, but Rivals Could Force Its Hand There are reasons for Lyft, the No. 2 American ride-hailing service, to steer clear of Detroit, but with pressure from cash-flush rivals like Uber, it may eventually run out of road.",,NEGATIVE,0.9987735152244568,-1
2016-08-16,"Ford Invests in Self-Driving Car “Autonomous vehicles could have just as much significant impact on society as Ford’s moving assembly line did 100 years ago,” said Mark Fields, chief executive of Ford.",,POSITIVE,0.8513717651367188,1
2016-08-16,Ford Promises Fleets of Driverless Cars Within Five Years The carmaker said it aimed to have self-driving cars available for ride-hailing services by 2021.,,NEGATIVE,0.9044782519340515,-1
2016-08-18,"Uber Aims for an Edge in the Race for a Self-Driving Future The company said it had acquired a start-up comprising former Google and Carnegie Mellon engineers, as well as announced a partnership with Volvo to test self-driving cars on Pittsburgh streets in a matter of weeks.",,NEGATIVE,0.542095422744751,-1
2016-08-18,"Uber Speeds Toward a Driverless Future, Putting Jobs in Danger As Uber pushes ahead with autonomous taxis, and trucking considers going driverless, too, millions of Americans’ driving jobs are at risk.",,NEGATIVE,0.9957301020622253,-1
2016-08-19,"Daily Report: Uber Dominates Thursday An acquisition, a self-driving partnership with Volvo and lawsuit news kept Uber at the forefront of tech for most of the day.",,POSITIVE,0.9639977216720581,1
2016-08-20,Farhad’s and Mike’s Week in Tech: Ride-Hailing News Owns the Road Ford says that it expects to have a fully autonomous car fleet on the road within five years. Uber announced an acquisition. And Lyft has a hard time finding any takers.,,NEGATIVE,0.996330201625824,-1
2016-08-23,Delphi and Mobileye to Produce System for Self-Driving Cars The companies said they expected to demonstrate their system in January at International CES and to begin production within two years.,,NEGATIVE,0.595141589641571,-1
2016-08-30,"Alphabet Expands Car-Pooling Project, Casting Shadow on Uber Waze Carpool’s move into San Francisco is just the latest volley as Google and Uber encroach on each other’s territory.",,POSITIVE,0.9417077302932739,1
2016-08-30,"How Driverless Cars May Interact With People A start-up in California is studying how self-driving vehicles will communicate with the world around them, as well as with their passengers.",,POSITIVE,0.9832446575164795,1
2016-08-30,"Uber and Alphabet’s Rivalry Heats Up as Director Chooses Sides David Drummond’s having a hand in each company became untenable as the two converge on mapping technologies, ride sharing and autonomous cars.",,NEGATIVE,0.9811151623725891,-1
2016-08-31,"Daily Report: Uber and Google, Ride-Sharing ‘Frenemies’ A Google executive kept out of meetings stepped down from Uber’s board as the search giant expands its own nascent ride sharing service to San Francisco.",,NEGATIVE,0.9838488101959229,-1
2016-09-05,"No Sailors Needed: Robot Sailboats Scour the Oceans for Data Richard Jenkins created Saildrone’s autonomous boats to assess fish populations, study the oceans and more, but his grander vision concerns climate change.",,POSITIVE,0.9901233315467834,1
2016-09-08,Your Car’s New Software Is Ready. Update Now? Automakers are taking advantage of connected cars by beaming improved features right into their vehicles via software upgrades.,,POSITIVE,0.9884823560714722,1
2016-09-10,"Apple Is Said to Be Rethinking Strategy on Self-Driving Cars The company has closed parts of its self-driving car project and laid off dozens of employees, according to three people briefed on the subject.",,NEGATIVE,0.9979275465011597,-1
2016-09-10,"No Driver? Bring It On. How Pittsburgh Became Uber’s Testing Ground Uber’s experiment with autonomous vehicles is proceeding with the blessing of city officials, who have pretty much just stayed out of the way.",,POSITIVE,0.9726788401603699,1
2016-09-12,"Daily Report: A Light Local Hand on Tech Uber, along with other tech companies, are finding pliant governments as they build the future.",,POSITIVE,0.5557073354721069,1
2016-09-14,Uber Tests Autonomous Cars Mike Isaac of The Times was among journalists who traveled to Pittsburgh to test Uber’s driverless vehicles.,,POSITIVE,0.616205096244812,1
2016-09-14,What It Feels Like to Ride in a Self-Driving Uber Uber is starting its driverless car pilot program in Pittsburgh on Wednesday with a small fleet of modified Ford Fusions.,,NEGATIVE,0.9970621466636658,-1
2016-09-14,Daily Report: Test-Driving (or Not Driving) the Cars of the Future A ride in a self-driving Uber car in Pittsburgh and a spin in Chevy’s new longer-ranger electric Bolt EV show how the auto world is changing fast.,,POSITIVE,0.8325697183609009,1
2016-09-20,"Self-Driving Cars Gain Powerful Ally: The Government New federal guidelines make it clear that, while the government will provide oversight, it wants to encourage the development of autonomous vehicles.",,POSITIVE,0.7436532378196716,1
2016-09-20,The 15-Point Federal Checklist for Self-Driving Cars Federal regulators urge automakers to prove that their semiautonomous and driverless vehicles meet specific safety expectations.,,NEGATIVE,0.9852721691131592,-1
2016-09-21,"For the Debaters: What Shall We Do About the Tech Careening Our Way? Autonomous vehicles are symbolic of numerous technology advances, each requiring a close look at benefits and risks, and leadership to navigate them.",,POSITIVE,0.98636394739151,1
2016-09-21,"In Backing Autonomous Cars, U.S. Tells Automakers to Figure It Out Federal guidelines stress safety but give automakers, one of the country’s most regulated industries, plenty of room to innovate.",,NEGATIVE,0.9956063628196716,-1
2016-09-21,"Apple Is Said to Be Talking to Vehicle Technology Companies Apple has discussed a partnership with McLaren, the racecar builder, sources say, and is talking with Lit Motors, developer of an electric motorcycle.",,POSITIVE,0.9217122197151184,1
2016-09-23,"Tesla Upgrades Autopilot in Cars on the Road Tesla is using a cellular network to send a software update to the Autopilot system on about 70,000 of its cars, aiming to improve safety.",,NEGATIVE,0.9960253238677979,-1
2016-09-26,"Driving Toward Tomorrow How researchers, city officials and engineers are working together to make roads safer.",1,POSITIVE,0.9943028688430786,1
2016-10-02,"Next Big Tech Corridor? Between Seattle and Vancouver, Planners Hope American tech giants stand to benefit from Canada’s smoother immigration process, and Vancouver is looking to feed its own homegrown tech ambitions.",,NEGATIVE,0.883804202079773,-1
2016-10-16,"Stepping Up Security for an Internet-of-Things World As appliances, cars and factory machines are computerized and connected to networks, we may become more efficient but hackers will have more to hack.",,NEGATIVE,0.9951594471931458,-1
2016-10-20,"Tesla Will Make Its Cars Fully Self-Driving, but Not Turn the System On Yet Tesla said that all the vehicles would have hardware enabling fully autonomous driving, though it would not be activated without more testing.",,POSITIVE,0.9612286686897278,1
2016-10-21,"Corrections: October 21, 2016 Corrections appearing in print on Friday, October 21, 2016.",x,NEGATIVE,0.9863373637199402,-1
